Actual,Predicted
151.743896484375,143.0523
147.71322631835938,142.38614
152.0969696044922,141.41617
156.51010131835938,140.3643
157.52023315429688,139.5329
160.8153839111328,139.05916
162.18838500976562,139.06184
165.56198120117188,139.53426
166.9251708984375,140.47987
170.71070861816406,141.80885
171.34814453125,143.49051
172.211181640625,145.38869
175.5063018798828,147.35889
174.33929443359375,149.36942
171.24026489257812,151.26819
170.94606018066406,152.82895
174.99636840820312,153.9644
171.68157958984375,154.83109
168.51390075683594,155.37912
168.81790161132812,155.5203
166.8074951171875,155.31346
162.55120849609375,154.78517
164.4243927001953,153.87894
167.1114959716797,152.76205
162.10009765625,151.68184
161.8843994140625,150.58037
164.16940307617188,149.4836
164.002685546875,148.52858
163.20834350585938,147.76808
158.6676788330078,147.18468
159.7366485595703,146.5938
153.77394104003906,145.99721
153.5484161376953,145.20181
160.4819793701172,144.20929
154.60757446289062,143.35814
154.91156005859375,142.5601
156.4022216796875,141.824
162.81605529785156,141.22562
153.7445526123047,141.02533
154.4713134765625,140.90767
149.34454345703125,140.77966
151.7508087158203,140.42418
143.88385009765625,139.9165
140.01419067382812,139.04675
144.48294067382812,137.71451
142.94097900390625,136.20058
146.5749053955078,134.65067
138.30528259277344,133.32782
134.8972625732422,132.03255
135.1329345703125,130.6203
140.5543670654297,129.12967
137.85353088378906,127.85224
138.01065063476562,126.80478
141.21240234375,125.99968
146.9677734375,125.5434
146.18203735351562,125.63389
146.0543670654297,126.19756
148.50975036621094,127.083244
142.78384399414062,128.22192
143.5302734375,129.27554
146.0543670654297,130.1244
145.3177947998047,130.82346
140.0927734375,131.36736
134.68116760253906,131.57286
129.52496337890625,131.2382
130.38922119140625,130.2272
133.01153564453125,128.70479
127.73740386962889,126.99591
129.21063232421875,125.13612
133.4436492919922,123.304214
132.93296813964844,121.79011
135.8008270263672,120.67838
139.1302490234375,120.070206
139.1302490234375,120.04581
134.9856414794922,120.51463
136.74368286132812,121.16951
134.27847290039062,121.89745
136.4490203857422,122.51916
139.0320587158203,123.04684
140.36778259277344,123.57763
143.7364959716797,124.17463
144.41416931152344,124.947685
142.28292846679688,125.89256
143.25526428222656,126.85387
142.89187622070312,127.76672
145.8186492919922,128.56372
147.48831176757812,129.3182
144.44369506835938,130.09387
148.303466796875,130.76416
150.3070068359375,131.41963
152.5758056640625,132.13924
151.33827209472656,132.99088
150.21864318847656,133.88855
148.89276123046875,134.71167
153.99008178710938,135.34677
154.5400848388672,135.95164
159.60792541503906,136.58115
158.62576293945312,137.4107
157.15255737304688,138.38783
163.16329956054688,139.3671
162.84901428222656,140.47398
162.622802734375,141.66336
162.15069580078125,142.84285
162.1998748779297,143.91202
166.44863891601562,144.81245
165.7110137939453,145.67508
169.26145935058594,146.48776
170.33348083496094,147.35324
170.17613220214844,148.29659
171.6710662841797,149.26299
171.2776641845703,150.24011
168.69102478027344,151.16205
164.8061981201172,151.88086
164.47177124023438,152.21233
164.76683044433594,152.14548
167.22560119628906,151.77185
160.9213409423828,151.29442
158.71827697753906,150.59566
156.2890167236328,149.63254
154.6269073486328,148.39554
155.35467529296875,146.93016
153.24012756347656,145.38972
151.9812469482422,143.83289
153.38768005371094,142.30612
151.9124298095703,140.93718
154.77439880371094,139.74313
160.7344207763672,138.85164
151.3026123046875,138.50266
152.7483673095703,138.3373
149.85687255859375,138.25398
148.21441650390625,138.09322
151.93206787109375,137.76219
154.31216430664062,137.41502
151.18463134765625,137.21335
150.22079467773438,137.081
147.94888305664062,136.94939
148.2832489013672,136.71559
149.25692749023438,136.38676
147.3686065673828,136.03482
140.1300048828125,135.63661
135.9206085205078,134.94588
140.1005096435547,133.81117
143.69032287597656,132.47078
143.98532104492188,131.24074
143.03134155273438,130.27765
137.77940368652344,129.59097
138.10394287109375,128.96333
136.68772888183594,128.34259
136.0582733154297,127.6807
140.63162231445312,126.97435
136.0976104736328,126.430435
140.0611572265625,125.94688
141.37905883789062,125.64381
141.4872283935547,125.58758
141.0249786376953,125.75895
144.84097290039062,126.08027
146.9850311279297,126.61954
149.82736206054688,127.411514
146.8866729736328,128.4883
142.41171264648438,129.64789
153.17129516601562,130.58664
150.81089782714844,131.59737
148.1652069091797,132.63626
142.63795471191406,133.54372
136.58938598632812,134.04712
136.32339477539062,133.8882
136.85537719726562,133.10791
137.42674255371094,131.90086
132.8655242919922,130.49858
144.68719482421875,128.91791
147.47515869140625,127.70457
146.0762481689453,127.13078
147.8101043701172,127.13821
146.5786590576172,127.6487
148.47998046875,128.45952
149.0415496826172,129.4694
145.81024169921875,130.57632
147.94802856445312,131.55717
148.8247833251953,132.39612
145.90878295898438,133.11266
142.07659912109375,133.60246
139.07196044921875,133.71498
145.82998657226562,133.35951
146.1058349609375,132.86412
145.6132354736328,132.40535
144.45082092285156,132.04337
140.78610229492188,131.7526
138.8453369140625,131.3856
140.52992248535156,130.84854
140.04722595214844,130.22598
142.3425750732422,129.5739
143.30804443359375,129.03183
141.08160400390625,128.68604
134.47134399414062,128.46057
132.5109100341797,128.07008
130.4026641845703,127.39036
130.333740234375,126.38587
133.4369354248047,125.15133
130.26478576660156,123.93555
129.90029907226562,122.760925
128.09750366210938,121.6658
124.16679382324219,120.62731
127.68375396728514,119.52502
127.9990005493164,118.503944
123.2112045288086,117.65382
124.4820327758789,116.833954
123.16194152832031,116.069374
127.69356536865233,115.34055
128.21571350097656,114.8314
128.78709411621094,114.60499
131.5060577392578,114.65895
131.42727661132812,115.03329
132.75717163085938,115.65803
133.91966247558594,116.47951
133.20050048828125,117.44563
133.25961303710938,118.44049
135.82095336914062,119.376686
139.01283264160156,120.2893
140.41172790527344,121.27511
139.75167846679688,122.36451
141.82044982910156,123.47709
143.7611846923828,124.60784
140.87472534179688,125.77315
142.14553833007812,126.81488
143.26861572265625,127.70413
148.57850646972656,128.46356
152.20384216308594,129.29117
149.47494506835938,130.34148
152.35157775878906,131.47812
149.66213989257812,132.69177
148.62774658203125,133.80821
148.99281311035156,134.69864
151.794921875,135.3373
151.153564453125,135.84189
153.255126953125,136.23642
151.65675354003906,136.61365
150.51226806640625,136.93402
146.49664306640625,137.1394
146.92088317871094,137.0748
147.40432739257812,136.75883
144.7502899169922,136.27975
145.944091796875,135.6258
145.44094848632812,134.90187
143.3689727783203,134.17154
143.9609375,133.4143
149.0125732421875,132.68272
151.77516174316406,132.20653
149.57496643066406,132.13687
150.82797241210938,132.36687
148.57843017578125,132.83318
146.51634216308594,133.35928
148.4600372314453,133.77116
150.5516815185547,134.08374
150.94638061523438,134.38618
153.7681884765625,134.71541
152.92955017089844,135.17058
155.29745483398438,135.7105
157.15234375,136.3678
155.72171020507812,137.16858
156.80702209472656,138.00462
158.10939025878906,138.83412
156.1657257080078,139.65425
155.5441436767578,140.35825
158.62245178222656,140.87956
160.19122314453125,141.32254
162.69728088378906,141.77814
163.9503173828125,142.34921
163.41751098632812,143.06917
161.57254028320312,143.86748
162.46051025390625,144.59926
159.86561584472656,145.22687
158.6520538330078,145.6338
157.96141052246094,145.76308
163.3484344482422,145.62067
163.00314331054688,145.46951
163.0229034423828,145.39722
164.24632263183594,145.4243
165.3908233642578,145.58063
164.42393493652344,145.8836
162.815673828125,146.25896
163.1215362548828,146.58942
161.58238220214844,146.83904
161.57254028320312,146.94337
166.16043090820312,146.90561
167.4134063720703,146.92671
167.32461547851562,147.10991
166.28868103027344,147.44823
165.2131805419922,147.85413
163.5753936767578,148.22466
171.25148010253906,148.45341
171.18238830566406,148.8045
169.4755401611328,149.32497
171.24160766601562,149.91338
171.42906188964844,150.55922
170.50033569335938,151.22336
170.00634765625,151.82466
170.00634765625,152.3032
170.618896484375,152.6421
172.95059204101562,152.872
173.05926513671875,153.10205
172.1107940673828,153.36398
169.50244140625,153.61662
169.7790985107422,153.74033
170.91531372070312,153.72446
173.32603454589844,153.63521
175.17359924316406,153.60327
175.12420654296875,153.73164
177.93016052246094,154.01564
178.77984619140625,154.51187
177.42625427246094,155.20314
177.0607147216797,155.96196
175.6873779296875,156.68239
178.4044189453125,157.25201
178.7897186279297,157.7377
181.5857696533203,158.1719
181.1115264892578,158.66148
